Vacas;Hora;Fecha;Temperatura
0112;20:00;5/02/2015;35
0198;20:00;5/02/2015;33.3
0116;20:00;5/02/2015;35.8
0196;20:00;5/02/2015;36.3
0184;20:00;5/02/2015;35.6
0150;20:00;5/02/2015;33.8
0154;20:00;5/02/2015;33.6
0112;21:00;5/02/2015;34.5
0198;21:00;5/02/2015;33.4
0116;21:00;5/02/2015;35.7
0196;21:00;5/02/2015;36.2
0184;21:00;5/02/2015;35.5
0150;21:00;5/02/2015;33.5
0154;21:00;5/02/2015;33.8
0112;22:00;5/02/2015;34.4
0198;22:00;5/02/2015;33.4
0116;22:00;5/02/2015;35
0196;22:00;5/02/2015;36
0184;22:00;5/02/2015;34.9
0150;22:00;5/02/2015;32.6
0154;22:00;5/02/2015;33.3
0112;23:00;5/02/2015;34.2
0198;23:00;5/02/2015;33
0116;23:00;5/02/2015;34.9
0196;23:00;5/02/2015;35.7
0184;23:00;5/02/2015;35.1
0150;23:00;5/02/2015;32.4
0154;23:00;5/02/2015;33.4
0112;00:00;6/02/2015;34
0198;00:00;6/02/2015;32.2
0116;00:00;6/02/2015;35.1
0196;00:00;6/02/2015;35.9
0184;00:00;6/02/2015;34.3
0150;00:00;6/02/2015;31.9
0154;00:00;6/02/2015;33.1
0112;01:00;6/02/2015;33.3
0198;01:00;6/02/2015;32.1
0116;01:00;6/02/2015;34.5
0196;01:00;6/02/2015;36
0184;01:00;6/02/2015;34.4
0150;01:00;6/02/2015;31.3
0154;01:00;6/02/2015;33.1
0112;02:00;6/02/2015;33.4
0198;02:00;6/02/2015;31.5
0116;02:00;6/02/2015;34.4
0196;02:00;6/02/2015;36
0184;02:00;6/02/2015;34.5
0150;02:00;6/02/2015;30.5
0154;02:00;6/02/2015;33.1
0112;03:00;6/02/2015;33.5
0198;03:00;6/02/2015;31.2
0116;03:00;6/02/2015;34.2
0196;03:00;6/02/2015;35.9
0184;03:00;6/02/2015;34.7
0150;03:00;6/02/2015;30.3
0154;03:00;6/02/2015;32.6
0112;04:00;6/02/2015;33.4
0198;04:00;6/02/2015;30.2
0116;04:00;6/02/2015;34.2
0196;04:00;6/02/2015;35.3
0184;04:00;6/02/2015;34.4
0150;04:00;6/02/2015;29.7
0154;04:00;6/02/2015;32.1
0112;05:00;6/02/2015;33.1
0198;05:00;6/02/2015;30.2
0116;05:00;6/02/2015;34.9
0196;05:00;6/02/2015;35.5
0184;05:00;6/02/2015;34.1
0150;05:00;6/02/2015;29.5
0154;05:00;6/02/2015;31
0112;06:00;6/02/2015;32.8
0198;06:00;6/02/2015;30.5
0116;06:00;6/02/2015;34.9
0196;06:00;6/02/2015;35.3
0184;06:00;6/02/2015;33.6
0150;06:00;6/02/2015;29.9
0154;06:00;6/02/2015;30.6
0112;07:00;6/02/2015;33
0198;07:00;6/02/2015;31.4
0116;07:00;6/02/2015;35.6
0196;07:00;6/02/2015;35.8
0184;07:00;6/02/2015;33.1
0150;07:00;6/02/2015;30.2
0154;07:00;6/02/2015;31.2
0112;08:00;6/02/2015;34.2
0198;08:00;6/02/2015;31.6
0116;08:00;6/02/2015;35.5
0196;08:00;6/02/2015;36
0184;08:00;6/02/2015;33.2
0150;08:00;6/02/2015;30.5
0154;08:00;6/02/2015;31.8
0112;09:00;6/02/2015;35.3
0198;09:00;6/02/2015;31.8
0116;09:00;6/02/2015;35.6
0196;09:00;6/02/2015;36.4
0184;09:00;6/02/2015;33.5
0150;09:00;6/02/2015;31.2
0154;09:00;6/02/2015;33
0112;10:00;6/02/2015;35.7
0198;10:00;6/02/2015;32.8
0116;10:00;6/02/2015;36.4
0196;10:00;6/02/2015;37.2
0184;10:00;6/02/2015;35.1
0150;10:00;6/02/2015;32.3
0154;10:00;6/02/2015;34.2
0112;11:00;6/02/2015;36.3
0198;11:00;6/02/2015;33.6
0116;11:00;6/02/2015;36.6
0196;11:00;6/02/2015;37.5
0184;11:00;6/02/2015;35.7
0150;11:00;6/02/2015;34.9
0154;11:00;6/02/2015;35.3
0112;12:00;6/02/2015;37.5
0198;12:00;6/02/2015;34.4
0116;12:00;6/02/2015;36.5
0196;12:00;6/02/2015;37.5
0184;12:00;6/02/2015;36.3
0150;12:00;6/02/2015;35.4
0154;12:00;6/02/2015;35
0112;13:00;6/02/2015;37.4
0198;13:00;6/02/2015;35.4
0116;13:00;6/02/2015;36.4
0196;13:00;6/02/2015;37.9
0184;13:00;6/02/2015;36.1
0150;13:00;6/02/2015;35.9
0154;13:00;6/02/2015;34.6
0112;14:00;6/02/2015;37.7
0198;14:00;6/02/2015;34.5
0116;14:00;6/02/2015;36.8
0196;14:00;6/02/2015;37.6
0184;14:00;6/02/2015;35.9
0150;14:00;6/02/2015;36.5
0154;14:00;6/02/2015;34.4
0112;15:00;6/02/2015;37
0198;15:00;6/02/2015;33.4
0116;15:00;6/02/2015;36.7
0196;15:00;6/02/2015;37.4
0184;15:00;6/02/2015;35.5
0150;15:00;6/02/2015;35.8
0154;15:00;6/02/2015;34.4
0112;16:00;6/02/2015;36.1
0198;16:00;6/02/2015;32.6
0116;16:00;6/02/2015;36.5
0196;16:00;6/02/2015;37.5
0184;16:00;6/02/2015;35.5
0150;16:00;6/02/2015;35.5
0154;16:00;6/02/2015;33.4
0112;17:00;6/02/2015;35.7
0198;17:00;6/02/2015;32.1
0116;17:00;6/02/2015;36.6
0196;17:00;6/02/2015;37.2
0184;17:00;6/02/2015;35.1
0150;17:00;6/02/2015;35.1
0154;17:00;6/02/2015;33.1
0112;18:00;6/02/2015;34.8
0198;18:00;6/02/2015;32.1
0116;18:00;6/02/2015;36.4
0196;18:00;6/02/2015;37
0184;18:00;6/02/2015;35.2
0150;18:00;6/02/2015;33.2
0154;18:00;6/02/2015;33.2
0112;19:00;6/02/2015;34
0198;19:00;6/02/2015;31.8
0116;19:00;6/02/2015;36
0196;19:00;6/02/2015;36.5
0184;19:00;6/02/2015;35.5
0150;19:00;6/02/2015;33.3
0154;19:00;6/02/2015;33.6
0112;20:00;6/02/2015;33.4
0198;20:00;6/02/2015;31.5
0116;20:00;6/02/2015;35.4
0196;20:00;6/02/2015;35.8
0184;20:00;6/02/2015;35.3
0150;20:00;6/02/2015;34
0154;20:00;6/02/2015;34.2
0112;21:00;6/02/2015;34.4
0198;21:00;6/02/2015;32
0116;21:00;6/02/2015;35.2
0196;21:00;6/02/2015;35.8
0184;21:00;6/02/2015;35.5
0150;21:00;6/02/2015;32.8
0154;21:00;6/02/2015;34.2
0112;22:00;6/02/2015;34.6
0198;22:00;6/02/2015;31.5
0116;22:00;6/02/2015;35.2
0196;22:00;6/02/2015;35.6
0184;22:00;6/02/2015;35.4
0150;22:00;6/02/2015;32.8
0154;22:00;6/02/2015;34.2
0112;23:00;6/02/2015;34.5
0198;23:00;6/02/2015;31.6
0116;23:00;6/02/2015;35.1
0196;23:00;6/02/2015;35.5
0184;23:00;6/02/2015;35.2
0150;23:00;6/02/2015;32.9
0154;23:00;6/02/2015;33.9
0112;00:00;7/02/2015;34.3
0198;00:00;7/02/2015;31.7
0116;00:00;7/02/2015;34.9
0196;00:00;7/02/2015;35.8
0184;00:00;7/02/2015;34.9
0150;00:00;7/02/2015;32.3
0154;00:00;7/02/2015;33.4
0112;01:00;7/02/2015;33.8
0198;01:00;7/02/2015;31.4
0116;01:00;7/02/2015;34.7
0196;01:00;7/02/2015;36
0184;01:00;7/02/2015;35.4
0150;01:00;7/02/2015;31.8
0154;01:00;7/02/2015;33.6
0112;02:00;7/02/2015;33.2
0198;02:00;7/02/2015;30.6
0116;02:00;7/02/2015;34.5
0196;02:00;7/02/2015;35.8
0184;02:00;7/02/2015;34.8
0150;02:00;7/02/2015;31.8
0154;02:00;7/02/2015;33.6
0112;03:00;7/02/2015;32.7
0198;03:00;7/02/2015;29.5
0116;03:00;7/02/2015;34.4
0196;03:00;7/02/2015;35.6
0184;03:00;7/02/2015;35.1
0150;03:00;7/02/2015;31.7
0154;03:00;7/02/2015;33.2
0112;04:00;7/02/2015;32.2
0198;04:00;7/02/2015;29.1
0116;04:00;7/02/2015;34.3
0196;04:00;7/02/2015;35.3
0184;04:00;7/02/2015;34.8
0150;04:00;7/02/2015;31.1
0154;04:00;7/02/2015;32.7
0112;05:00;7/02/2015;31.7
0198;05:00;7/02/2015;29.2
0116;05:00;7/02/2015;34.7
0196;05:00;7/02/2015;34.7
0184;05:00;7/02/2015;34.7
0150;05:00;7/02/2015;31.1
0154;05:00;7/02/2015;32.4
0112;06:00;7/02/2015;32.4
0198;06:00;7/02/2015;30.1
0116;06:00;7/02/2015;35
0196;06:00;7/02/2015;34.8
0184;06:00;7/02/2015;34.1
0150;06:00;7/02/2015;31.1
0154;06:00;7/02/2015;31.6
0112;07:00;7/02/2015;33.4
0198;07:00;7/02/2015;31.4
0116;07:00;7/02/2015;35.4
0196;07:00;7/02/2015;35.6
0184;07:00;7/02/2015;33.5
0150;07:00;7/02/2015;31.3
0154;07:00;7/02/2015;32.3
0112;08:00;7/02/2015;33.6
0198;08:00;7/02/2015;31.4
0116;08:00;7/02/2015;35.7
0196;08:00;7/02/2015;35.8
0184;08:00;7/02/2015;33.3
0150;08:00;7/02/2015;31.4
0154;08:00;7/02/2015;32.9
0112;09:00;7/02/2015;33.7
0198;09:00;7/02/2015;31.4
0116;09:00;7/02/2015;36.1
0196;09:00;7/02/2015;35.9
0184;09:00;7/02/2015;34.8
0150;09:00;7/02/2015;31.5
0154;09:00;7/02/2015;33.3
0112;10:00;7/02/2015;34.6
0198;10:00;7/02/2015;32.3
0116;10:00;7/02/2015;36.6
0196;10:00;7/02/2015;36.1
0184;10:00;7/02/2015;34.9
0150;10:00;7/02/2015;32.9
0154;10:00;7/02/2015;34.6
0112;11:00;7/02/2015;35.2
0198;11:00;7/02/2015;33.2
0116;11:00;7/02/2015;36.6
0196;11:00;7/02/2015;36.3
0184;11:00;7/02/2015;35.4
0150;11:00;7/02/2015;34.2
0154;11:00;7/02/2015;35.7
0112;12:00;7/02/2015;36.8
0198;12:00;7/02/2015;35
0116;12:00;7/02/2015;36.7
0196;12:00;7/02/2015;36.7
0184;12:00;7/02/2015;35.7
0150;12:00;7/02/2015;35.5
0154;12:00;7/02/2015;35.2
0112;13:00;7/02/2015;36.7
0198;13:00;7/02/2015;34.8
0116;13:00;7/02/2015;36.7
0196;13:00;7/02/2015;36.7
0184;13:00;7/02/2015;36.8
0150;13:00;7/02/2015;35.8
0154;13:00;7/02/2015;34.6
0112;14:00;7/02/2015;36.6
0198;14:00;7/02/2015;34.6
0116;14:00;7/02/2015;36.6
0196;14:00;7/02/2015;37
0184;14:00;7/02/2015;36.3
0150;14:00;7/02/2015;35.4
0154;14:00;7/02/2015;34.5
0112;15:00;7/02/2015;35.7
0198;15:00;7/02/2015;33.5
0116;15:00;7/02/2015;36.7
0196;15:00;7/02/2015;36.6
0184;15:00;7/02/2015;35.6
0150;15:00;7/02/2015;34.9
0154;15:00;7/02/2015;33.8
0112;16:00;7/02/2015;34.8
0198;16:00;7/02/2015;33
0116;16:00;7/02/2015;36.4
0196;16:00;7/02/2015;36.6
0184;16:00;7/02/2015;35.3
0150;16:00;7/02/2015;33.7
0154;16:00;7/02/2015;33.6
0112;17:00;7/02/2015;34.7
0198;17:00;7/02/2015;32.5
0116;17:00;7/02/2015;36.1
0196;17:00;7/02/2015;36.6
0184;17:00;7/02/2015;35.3
0150;17:00;7/02/2015;33.1
0154;17:00;7/02/2015;33.2
0112;18:00;7/02/2015;34.2
0198;18:00;7/02/2015;31.1
0116;18:00;7/02/2015;35.4
0196;18:00;7/02/2015;36.3
0184;18:00;7/02/2015;34.7
0150;18:00;7/02/2015;31.6
0154;18:00;7/02/2015;32.7
0112;19:00;7/02/2015;34.1
0198;19:00;7/02/2015;31.6
0116;19:00;7/02/2015;35.3
0196;19:00;7/02/2015;36.7
0184;19:00;7/02/2015;35.1
0150;19:00;7/02/2015;32.3
0154;19:00;7/02/2015;33.2
0112;20:00;7/02/2015;34.4
0198;20:00;7/02/2015;32.1
0116;20:00;7/02/2015;35.6
0196;20:00;7/02/2015;35.9
0184;20:00;7/02/2015;34.8
0150;20:00;7/02/2015;32.9
0154;20:00;7/02/2015;33.8
0112;21:00;7/02/2015;33.9
0198;21:00;7/02/2015;31.9
0116;21:00;7/02/2015;35.3
0196;21:00;7/02/2015;36
0184;21:00;7/02/2015;34.8
0150;21:00;7/02/2015;32.5
0154;21:00;7/02/2015;33.7
0112;22:00;7/02/2015;33.5
0198;22:00;7/02/2015;31.8
0116;22:00;7/02/2015;35.2
0196;22:00;7/02/2015;36.1
0184;22:00;7/02/2015;34.7
0150;22:00;7/02/2015;32.3
0154;22:00;7/02/2015;33.5
0112;23:00;7/02/2015;33.6
0198;23:00;7/02/2015;31.7
0116;23:00;7/02/2015;35.3
0196;23:00;7/02/2015;36
0184;23:00;7/02/2015;35.4
0150;23:00;7/02/2015;32
0154;23:00;7/02/2015;33.6
0112;00:00;8/02/2015;33.6
0198;00:00;8/02/2015;31.5
0116;00:00;8/02/2015;34.7
0196;00:00;8/02/2015;35.9
0184;00:00;8/02/2015;35
0150;00:00;8/02/2015;32.4
0154;00:00;8/02/2015;33.2
0112;01:00;8/02/2015;33.4
0198;01:00;8/02/2015;31.2
0116;01:00;8/02/2015;34.9
0196;01:00;8/02/2015;36.1
0184;01:00;8/02/2015;34.7
0150;01:00;8/02/2015;31.6
0154;01:00;8/02/2015;32.9
0112;02:00;8/02/2015;33.3
0198;02:00;8/02/2015;30.4
0116;02:00;8/02/2015;34.8
0196;02:00;8/02/2015;36
0184;02:00;8/02/2015;34.3
0150;02:00;8/02/2015;30.8
0154;02:00;8/02/2015;32.7
0112;03:00;8/02/2015;32.8
0198;03:00;8/02/2015;29.90 
0116;03:00;8/02/2015;34.6
0196;03:00;8/02/2015;35.9
0184;03:00;8/02/2015;33.8
0150;03:00;8/02/2015;31.4
0154;03:00;8/02/2015;32.7
0112;04:00;8/02/2015;32.6
0198;04:00;8/02/2015;29.3
0116;04:00;8/02/2015;34.2
0196;04:00;8/02/2015;35.6
0184;04:00;8/02/2015;33.5
0150;04:00;8/02/2015;30.9
0154;04:00;8/02/2015;32.5
0112;05:00;8/02/2015;32.3
0198;05:00;8/02/2015;29.2
0116;05:00;8/02/2015;35.1
0196;05:00;8/02/2015;35.3
0184;05:00;8/02/2015;33.2
0150;05:00;8/02/2015;31.4
0154;05:00;8/02/2015;32.4
0112;06:00;8/02/2015;32.2
0198;06:00;8/02/2015;30.3
0116;06:00;8/02/2015;35
0196;06:00;8/02/2015;35.8
0184;06:00;8/02/2015;33.1
0150;06:00;8/02/2015;30.6
0154;06:00;8/02/2015;32.3
0112;07:00;8/02/2015;33
0198;07:00;8/02/2015;31.5
0116;07:00;8/02/2015;35.4
0196;07:00;8/02/2015;35.9
0184;07:00;8/02/2015;33.1
0150;07:00;8/02/2015;30.9
0154;07:00;8/02/2015;31.9
0112;08:00;8/02/2015;33.2
0198;08:00;8/02/2015;31.7
0116;08:00;8/02/2015;35.8
0196;08:00;8/02/2015;36.2
0184;08:00;8/02/2015;33
0150;08:00;8/02/2015;31.1
0154;08:00;8/02/2015;32.4
0112;09:00;8/02/2015;34.1
0198;09:00;8/02/2015;31.9
0116;09:00;8/02/2015;36.1
0196;09:00;8/02/2015;36.3
0184;09:00;8/02/2015;34.1
0150;09:00;8/02/2015;31.8
0154;09:00;8/02/2015;32.8
0112;10:00;8/02/2015;35.4
0198;10:00;8/02/2015;31.9
0116;10:00;8/02/2015;36.3
0196;10:00;8/02/2015;36.8
0184;10:00;8/02/2015;35.3
0150;10:00;8/02/2015;34.6
0154;10:00;8/02/2015;35.1
0112;11:00;8/02/2015;36.2
0198;11:00;8/02/2015;32.9
0116;11:00;8/02/2015;36.8
0196;11:00;8/02/2015;36.8
0184;11:00;8/02/2015;35.4
0150;11:00;8/02/2015;35.3
0154;11:00;8/02/2015;35.4
0112;12:00;8/02/2015;37
0198;12:00;8/02/2015;33.5
0116;12:00;8/02/2015;36.6
0196;12:00;8/02/2015;36.8
0184;12:00;8/02/2015;36.4
0150;12:00;8/02/2015;35.4
0154;12:00;8/02/2015;35.6
0112;13:00;8/02/2015;37.4
